uuid,pub_year,epub_year,organisations,organisations_names,datasets,github,github_url,gitlab,gitlab_url,bitbucket,subversion,apache allura,gogs,gitea,r core team,r-project,python,html,css,java,javascript,swift,c #,c++,golang,php,typescript,stata,spss,scala,shell,powershell,perl,haskell,kotlin,visual basic,sql,matlab,excel,lua&programming,ruby,bezanson&julia,arcgis,bazis,hpc,high-performance computing,snellius&surf,lisa&surf,peter stol,"p"", "" stol",itvo,diebert van rhijn,"d"", "" van rhijn",high-end computing,nwo,erc,citizen science,citizen engagement,publiekswetenschap,burgerwetenschap,societal engagement,meditation,meditatie,mindfulness,mindful,doi,cited_data
04871dc3-8642-45c5-a7e6-447fd36baa27,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1021/acs.chemmater.3c00502,
06924dbf-1f73-4c1e-8125-fce56f4a21aa,2023,,,,,True,['github.com/BIDS/colormap/blob/master/'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,,10.1098/rstb.2022.0044,
08ba74f4-d7a0-4a94-88c9-f4288cfedf98,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1103/PhysRevB.108.L081401,
0e0e1973-24bf-42a4-aec1-ac326cd71911,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.3389/fonc.2022.1101901,
100a0076-e448-42f4-a7b7-e92d464ac496,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.xcrp.2023.101552,
1208be2a-9818-48d8-9d84-b0348fffa8e6,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.xcrp.2023.101552,
123505ce-8577-45f0-8b08-dae626231525,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1038/s41587-023-01839-z,10.57760/sciencedb.08338
12880fb3-f374-4593-9fbd-fc4f627894e2,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1242/jcs.259639,
1549fb70-f85e-497e-8842-fb5203bf2c54,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1038/s41598-023-43682-x,
16bee2cf-2e80-4398-bb9f-353cb9e5abc6,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.20517/evcna.2023.26,
18eb90e5-2df3-4f82-9d19-6a2f32c00f49,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.7554/eLife.85183,
1ad5a3ec-6216-4a4a-8963-333493f3f680,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1038/s41598-023-35359-2,
1b72b2c7-c148-48be-b019-c03935d3f7f1,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1038/s41598-023-39829-5,
1ba0d52e-a233-4d54-b8ec-4700ecee5997,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1146/annurev-biochem-032620-110506,
23a8f1d5-d7e5-4fdc-868a-1ba0d82c016d,2023,,,,,True,"['github.com/volkovdelft/kymo.jl', 'github.com/', 'github.com/volkovdelft/kymo.jl']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1242/jcs.260154,
2719d547-47fc-401f-9a81-361d7fd44177,2023,,,,,True,"['github.com/', 'github.com/ngudimchuk/', 'github.com/EMBL-ICLM/microtubule_width_', 'github.com/ngudimchuk/Process-PFs']",,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1083/jcb.202208062,
2bc020a9-c5a4-49e4-aa74-615dba20d234,2023,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1093/nar/gkad868,
2db4b9f4-71b1-4f38-8973-a04a89ea9745,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1002/adbi.202300105,
2ffe569b-779d-4058-8167-0182a80bc4aa,2023,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,10.1038/s41598-023-27734-w,
338b1be6-8fff-4c7b-b524-2489c88199bf,2024,,,,,,,True,"['gitlab.tudelft.nl/nynke-dekker-lab/public/', 'gitlab.tudelft.nl/nynke-dekker-']",,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1038/s41467-023-37093-9,
3670ec8a-5a12-4e4e-80ed-df5d52f0bb3d,2023,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,10.7554/eLife.87174.1,"10.4121/12888551.v1,10.4121/21027850,10.4121/22059227"
37e3d82e-2bc7-4b92-bad0-320d931af6a8,2023,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1038/s41467-023-35997-0,10.5281/zenodo.7339803
3bc42b38-682b-42d4-a565-9dd6a2032582,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,10.1021/acs.jpcc.3c03815,
3f082dda-080f-44ca-ac1b-75b6669ac622,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1122/8.0000559,
3f35fb6b-1e33-40b7-88a0-2053e442bb7e,2023,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1038/s41598-023-43682-x,
3f609a0a-b277-4595-9061-88160f8a80ef,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,10.1103/PhysRevB.108.L081401,
41a872d7-d65a-401f-9ef4-aa10844327eb,2023,,,,,,,True,['gitlab.tudelft.nl/'],,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1016/j.bpj.2023.11.008,
46da84a0-473b-4720-b7e3-f54336f2ff5a,2023,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,10.1038/s41565-023-01510-3,
49d4ea8a-f013-4633-8b7b-87fe08865847,2023,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15252/embj.2022112504,
4b936c0e-21ac-4922-b4ce-45fa8a0e04ab,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1002/adma.202305505,
4db5a23e-af43-4d5d-aa4c-fb14ac011a5f,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1021/acssynbio.2c00668,
4ea8cf3d-b387-4e87-acd6-b54ea9b79611,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1038/s41467-023-35997-0,10.5281/zenodo.7339803
4ff202a0-e39e-4a5b-8b0d-3979eb19dc61,2023,,,,,True,['github.com/cvdelannoy/baseLess'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1093/bioadv/vbad017,
52ac12b5-5083-4396-9c78-faeee33c956d,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.isci.2023.105958,
53a7d176-6e40-4fe6-88de-1d4e10ba5eed,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,10.1016/j.isci.2023.108268,
5462db79-04ff-4c4d-8240-a226efc53a45,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1021/acs.nanolett.3c02630,
572005f8-f90c-407a-9fe2-93f38a4d60e5,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,,10.1038/s41565-023-01527-8,
57a7a46f-b889-4ee4-acf1-c5910d81eee4,2023,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1016/j.bioadv.2023.213289,
5e1f276c-92a2-4600-89ad-1fa1a5dec79f,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,10.1016/j.tibtech.2022.08.008,
5e9d801f-8f3b-4651-8cb4-95f38a9d7e57,2023,,,,,True,['github.com/luca-tubiana/kDNA-border-simsURL'],,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,10.1103/PhysRevX.13.021010,
6328df2c-be3e-4db5-b373-8d552f786fee,2023,,,,,,,True,['gitlab'],,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1038/s41467-023-42524-8,
68b845bc-f8a1-45b3-97c5-e7e8c683b506,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.xplc.2023.100716,
68d24b7f-ad4a-49b8-abff-108f576a1db7,2023,,,,,True,['github.com/dfanology/TIRFscan'],,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1016/j.optcom.2023.129548,
69617da3-ecd7-4a48-81d2-26e613330bd7,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,10.1039/d3py00075c,
6bea020d-2205-490e-a5b5-2b766ae61bb4,2023,,,,,True,['github.com/kibb/LINA/'],,,,,,,,,,True,,,,,,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1038/s41467-023-43440-7,10.5281/zenodo.10033943
6f8f7430-8035-4bda-8e35-d5be04767878,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1002/adbi.202200172,
700c1897-1be8-44fb-a766-ef75d1db5adc,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1016/j.celrep.2023.113284,
70278c10-d8c5-4ee4-9a0b-ac3d098710d9,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1038/s41467-023-37910-1,
7425a8ae-dd87-4ebd-a725-d4ac9454d691,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1126/sciadv.add6480,
77636615-189a-40f4-b2bf-ca9da8c24b2d,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1002/adbi.202200172,
79de9e6e-8201-499b-8d41-7c52ae450257,2023,,,,,True,"['github.com/ï¬‚orian-huber/mtdynamics', 'github.com/NemoAndrea/cryoCARE-hpc04', 'github.com/ngudimchuk/Process-PFs']",,,,,,,,,,True,,,,,,,,,,,,,,True,,,,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,10.1242/jcs.260154,
7c197383-2adc-49d6-9b28-cfd93114142b,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1103/PhysRevLett.131.124001,
7fc47989-1d98-40b1-ba87-3bd189025859,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1126/science.adi8308,
8255628d-3820-429d-aa7b-a0fe62158e24,2023,,,,,True,['github.com/BioSoftMatterGroup/actin-curvature-sensing'],,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.bpj.2023.02.018,
8884bec9-7326-436a-8723-86870fb14c87,2024,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1093/nar/gkad1055,
895dab1e-4d60-42ef-9f4d-63bdd426ac21,2023,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,10.1038/s41564-023-01501-z,
8a5844c1-360e-41bd-8d05-b5cbb7c5a3ad,2023,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,10.1038/s41586-023-05961-5,
8e0ac213-5f21-4550-9f77-7f03ec109e4c,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1002/smtd.202300258,
8e282dee-5dc2-4706-98c8-95b0effbc02e,2023,,,,,True,"['github.com/3dem/relion', 'bernhardcl.github.io/coot/', 'github.com/tbepler/topaz', 'github.com/deepmind/alphafold', 'github.com/sokrypton/ColabFold', 'desmid.github.io/mview/']",,,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,10.1016/j.cell.2023.01.041,
9371e760-5c94-4b8c-9912-db2d12963000,2023,,,,,True,['github.com/deLaatLab/PCNA-NAQ-seq'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,10.1093/nar/gkad171,
96fc37eb-854e-4427-870a-86ef71575f64,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.cell.2023.01.041,
998d3bf0-6ea9-48f2-96fb-e2cd8964966b,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1021/acssynbio.3c00074,
9eabc35e-497e-4dbf-80b8-f88fcda30937,2023,,,,,True,"['github.com/qnano/zimflux', 'github.com/qnano/VectorialPSF']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1364/OE.505958,
9fd37e6d-a9a6-465b-b43f-e01f4cead794,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1016/j.optcom.2023.129474,
a26f9d02-74db-4f87-b99b-5b226065c598,2024,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,True,10.1039/d3py00075c,
a82db596-c4d8-4a33-8f62-3dd51b302e2d,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,10.1016/j.tim.2022.12.006,
a83f691c-15a3-43b5-83c5-911cd2fce4b7,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,10.1039/d2sm01562e,
a897db99-e0ff-43c6-b1ce-247c6b128946,2023,,,,,True,['broadinstitute.github.io/picard/'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,,10.3389/fmicb.2023.1076570,
a8cdf4b9-a0e5-498c-98ed-afa25a63eb8d,2023,,,,,True,['github.com/lbobay/CoreCruncher'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,10.1099/mgen.0.000968,
a9346733-a82d-4692-972f-4ac966078db0,2023,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1093/nar/gkad1055,
a9e8251a-65d8-47ca-a441-feb690175770,2023,,,,,True,"['github.com/AlexeyAB/darknet', 'github.com/heartexlabs/labelImg']",True,"['gitlab.tudelft.nl/nynke-dekker-', 'gitlab.tudelft', 'gitlab.tudelft.nl/nynke-dekker-', 'gitlab.tudelft.nl/nynke-dekker-lab/public/cell-counter/-/tree/']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1371/journal.pone.0291625,
aaf7472e-a5a4-49a7-9e4e-c772e9d26e12,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,,10.3389/fmicb.2023.1107093,
b2cd4236-ae1a-4d61-a73d-78c1f1de73ae,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,10.1038/s41580-023-00686-9,
b3225378-c513-4da3-a544-adb279207226,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1038/s41598-023-39829-5,
b43633d1-5722-4457-8603-8396ff34181e,2023,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1021/acsnano.3c05959,10.5281/zenodo.8060099
b5db9410-6d84-4778-853c-23e61ff3146c,2023,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1021/acs.biomac.2c01405,
bb65b1ae-5213-4f9f-8b24-bdb2fa5e16d9,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1103/PhysRevLett.131.124001,
bcd05848-9b2b-4097-a87c-16f5d9496e96,2023,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,10.1038/s41598-023-35359-2,
cb78b511-eec7-42e5-b0c3-5448524a9cd5,2023,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1038/s41598-023-49101-5,
d060c9f2-bcba-4aff-93fe-1696cad1ccac,2023,,,,,True,"['github.com/youklab/', 'github.com/youklab/']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1038/s41589-022-01225-x,
d13ebeb1-2c18-43ad-b1ab-032a8a2d0551,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1038/s41467-023-42100-0,
d4b69c62-ebab-451d-accf-95d1e33625e3,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1103/PhysRevB.108.L081401,
d4bbe182-8021-4562-a56a-bcb7652032ef,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,10.1016/j.isci.2023.105958,
d934ea5d-7495-4665-83ae-477f5619cbff,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.20517/evcna.2023.26,
dbca5207-6668-42f9-9842-4d29e44681c3,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1103/PhysRevLett.131.124001,
dc7862b5-579b-4253-aa91-de46acdf5c1a,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,10.1016/j.ohx.2023.e00428,
deac6a5d-c41b-4642-86e8-f9c8317b011f,2023,,,,,True,['github.com/pykalman/'],True,['gitlab'],,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1038/s41467-023-37093-9,
dfafd525-7101-41ad-98cc-21512fca775e,2023,,,,,True,['github.com/RubenBoot/HighThroughput_Spheroid_'],,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1039/d2lc01060g,
e6cdffe5-219f-4956-92b6-6d258fec2eed,2024,,,,,True,['github.com/cvdelannoy/coa_classifier'],True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1093/bioadv/vbad017,
ec812c1c-39c9-4f91-a1f5-18b65a767a2e,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1002/smtd.202300416,
efc3c603-f8dd-461d-bd77-fa0c588b4b74,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1088/2050-6120/acfb58,
f56a4c52-028f-4e10-95f2-648b01ad9499,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,10.1038/s41598-023-43682-x,
f5e91501-b820-4a1c-a5b1-ac08c2d3cac4,2023,,,,,True,['github.com/RubenBoot/HighThroughput_Spheroid_'],,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1039/d2lc01060g,
f703f992-f444-42cb-88b1-9c81ae1109d6,2023,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,,10.1016/j.actbio.2022.12.009,
f92a4311-320f-46e1-a685-4f348aecdcad,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,10.3389/fbioe.2022.1110376,
fa75063c-08d6-4392-bca2-73cc22a7723e,2024,,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,True,True,,,,,,,,,,10.1039/d2lc01060g,
fd58024b-d0d6-4800-9c71-9d84b49d3206,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,10.1021/acsnano.3c05959,10.5281/zenodo.8060099
